20180808-FrenchMusic.mp3                                                              _^90t,20180808-FrenchMusic.mp3   ss=0
4-Non-Blondes_Whats-Up                                                                _^6NXnxTNIWkc.opus   ss=0 t=1.09 p=1.03 c=4 F=y v=3db
Alessandro_Scarlatti-La_Folia_Espagne_Piano                                           _^7xwxthXoDvQ.opus   ss=0 to=83 t=1.12 p=0.02 c=1 v=-4db
Alessandro_Scarlatti-La_Follia_Synthesia                                              _^4A_U-FKpzA0.opus   ss=0 to=94.9 t=1.17 p=2.02 c=1 v=-12db
Arabesque_Cookie_Arabian_Dance                                                        _^XRaIEazuNtE.opus   ss=0 t=1.02 p=-1.98 c=3 F=y v=-9db
Art_Tatum-In_a_Sentimental_Mood_1955                                                  _^SWp5j5YIJIQ.opus   ss=0 t=0.87 p=3.07 c=3
Art_Tatum_Ben_Webster_-_The_Album_1956                                                _^KJifh-S2Hw4.m4a    ss=0
Art_Tatum_Friends                                                                     _^TpmtRvebA4k.opus   ss=0
Art_Tatum_In_a_Sentimental_Mood_1955                                                  _^SWp5j5YIJIQ.opus   ss=0 t=1.08 p=-1.99 c=1 F=y v=1.05
Art_Tatum_In_a_Sentimental_Mood_1955                                                  _^SWp5j5YIJIQ.opus   ss=0 t=1.08 p=-1.99 c=1 F=y v=1.05
Astor_Piazzolla-Chant_et_Fugue                                                        _^m_zBIKrF9G0.opus   ss=1649 to=2053 t=0.796 p=0 c=3
Astor_Piazzolla-Cite_Tango                                                            _^m_zBIKrF9G0.opus   ss=0 to=335 t=1 p=0 c=3
Astor_Piazzolla-Largo_Tangabile                                                       _^m_zBIKrF9G0.opus   ss=624 to=1036 t=0.915 p=0 c=3
Astor_Piazzolla-La_Camorra                                                            _^USlYQ686TfM.opus   ss=0
Astor_Piazzolla-Pia-Sol-La-Sol                                                        _^m_zBIKrF9G0.opus   ss=335 to=624 t=0.915 p=0 c=3 v=1db
Astor_Piazzolla-Seasons_Buenos_Aires                                                  _^vsWkXGMonKg.opus   ss=0 to=1456 t=1 p=0 c=3
B52s_Planet_Claire                                                                    _^eOjAzI5zALo.mp3    ss=0
B52s_Rock_Lobster_1980                                                                _^2VCCiY17hKw.mkv    ss=0 t=1.08 p=-2.04 c=3 v=-1db
Bach-BWV1001-Sonata-1-G-Min-Violin-Milstein-Scroll                                    _^JRt0I1R8zO0.opus   ss=18 to=917 t=1.04 p=-2.03 c=3 F=y
