Beethoven-Op02-Piano_Sonata_02-Amin-1_Allegro_vivace                                  _^o1sH4kFy_iE.opus   ss=0 to=413.17 cmp=ckb2 v=4db
Beethoven-Op02-Piano_Sonata_02-Amin-2_Largo_appassionato                              _^wf3cPJYgmIE.opus   ss=0 to=387.05 cmp=ckb2 v=4db
Beethoven-Op02-Piano_Sonata_02-Amin-3_Scherzo_Allegretto_Trio                         _^c984hPJKMXQ.opus   ss=0 to=180.07 cmp=ckb2 v=4db
Beethoven-Op02-Piano_Sonata_02-Amin-4_Rondo_Grazioso                                  _^bdPXTMI3ihQ.opus   ss=0 to=354.97 cmp=ckb2 v=4db
Beethoven-Op13-Piano_Sonata_08-Cmin-Pathetique-1_Grave-Allegro_di_molto_e_con_brio    _^4VUYFRR3igs.opus   ss=0 to=527.59 cmp=ckb2 v=4db
Beethoven-Op13-Piano_Sonata_08-Cmin-Pathetique-2_Adagio_cantabile                     _^h8-sXbiqrkY.opus   ss=0 to=282.99 cmp=ckb2 v=4db
Beethoven-Op13-Piano_Sonata_08-Cmin-Pathetique-3_Rondo_Allegro                        _^LCnZ9K6tArM.opus   ss=0 to=262.61 cmp=ckb2 v=4db
Beethoven-Op57-Piano_Sonata_23-Fmin-Appassionata-1_Allegro_assai                      _^z82AKDpOS_M.opus   ss=0 to=625.29 cmp=ckb2 v=4db
Beethoven-Op57-Piano_Sonata_23-Fmin-Appassionata-2_Andante_con_moto                   _^MKA3-XB5RXA.opus   ss=0 to=377.55 cmp=ckb2 v=4db
Beethoven-Op57-Piano_Sonata_23-Fmin-Appassionata-3_Allegro_ma_non_troppo              _^I36TECIgq30.opus   ss=0 to=504.39 cmp=ckb2 v=4db
Chopin-Op27-Nocturne_2                                                                _^O7iYygw3giE.opus   ss=0 to=352.81 cmp=ckb2 v=4db
Chopin-Op35-Piano_Sonata_2_Bfmin-Funeral_March-1_Grave_Doppio_movimento               _^c05Sc88q29Y.opus   ss=0 to=341.29 cmp=ckb2 v=4db
Chopin-Op35-Piano_Sonata_2_Bfmin-Funeral_March-2_Scherzo                              _^xXoiB4K5qpk.opus   ss=0 to=388.91 cmp=ckb2 v=4db
Chopin-Op35-Piano_Sonata_2_Bfmin-Funeral_March-3_Marche_funebre_Lento                 _^Zu70PHBru5U.opus   ss=0 to=466.67 cmp=ckb2 v=4db
Chopin-Op35-Piano_Sonata_2_Bfmin-Funeral_March-4_Finale_Presto                        _^JFxlay2g9fs.opus   ss=0 to=83.11 cmp=ckb2 v=4db
Chopin-Op52-Ballade_4-Fmin                                                            _^9c9r31RIZIo.opus   ss=0 to=660.79 cmp=ckb2 v=4db
Chopin-Op58-Piano_Sonata_3-Bmin-1_Allegro_maestoso                                    _^yZXygW54NhY.opus   ss=0 to=549.27 cmp=ckb2 v=4db
Chopin-Op58-Piano_Sonata_3-Bmin-2_Scherzo_Molto_vivace                                _^WwJewEKihHQ.opus   ss=0 to=165.03 cmp=ckb2 v=4db
Chopin-Op58-Piano_Sonata_3-Bmin-3_Largo                                               _^onS3slalH0c.opus   ss=0 to=522.23 cmp=ckb2 v=4db
Chopin-Op58-Piano_Sonata_3-Bmin-4_Finale_Presto_non_tanto                             _^q-SKovDAgLM.opus   ss=0 to=309.03 cmp=ckb2 v=4db
Chopin-Posth-Nocturne_20-Csmin                                                        _^285qna2jNl0.opus   ss=0 to=254.09 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_01_Preambule                                                   _^q4WKJYpDX2c.opus   ss=0 to=149.65 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_02_Pierrot                                                     _^5CxydqrP4Uc.opus   ss=0 to=151.01 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_03_Arlequin                                                    _^OLg5M5QBKxc.opus   ss=0 to=75.99 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_04_Valse_noble                                                 _^-uMKEYPwq1k.opus   ss=0 to=149.77 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_05_Eusebius                                                    _^7AvS4fcGNJQ.opus   ss=0 to=124.37 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_06_Florestan                                                   _^h0fg-mMn09k.opus   ss=0 to=61.89 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_07_Coquette                                                    _^3FyRaS6suHU.opus   ss=0 to=105.03 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_08_Replique                                                    _^H0i_rsYVFQw.opus   ss=0 to=114.55 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_09_Papillons                                                   _^qv7D-of8uIE.opus   ss=0 to=41.51 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_10_Lettres_dansantes                                           _^AaJnSH8N9HQ.opus   ss=0 to=55.41 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_11_Chiarina                                                    _^xGV1VoahomI.opus   ss=0 to=101.49 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_12_Chopin                                                      _^kTZPkiTjCvA.opus   ss=0 to=89.15 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_13_Estrella                                                    _^h-MTTnawThQ.opus   ss=0 to=30.33 cmp=ckb2 v=4db
Schumann-Op09-Carnaval_14_Reconnaissance                                              _^nM0lQa--woo.opus   ss=0 to=105.03 cmp=ckb2 v=4db
