Furstenau-Op125_01-Etude_Bouquets-Cmaj-Yoshizono                                      _^grVlOrSDprQ.opus   ss=0 to=141 cmp=parc v=4db
Furstenau-Op125_02-Etude_Bouquets-Cmaj-Yoshizono                                      _^TVRWc6akWU8.opus   ss=0 to=96.51 cmp=parc v=4db
Furstenau-Op125_03-Etude_Bouquets-Cmin-Yoshizono                                      _^ji3aTz92ivM.opus   ss=0 to=124.39 cmp=parc v=4db
Furstenau-Op125_04-Etude_Bouquets-Amaj-Yoshizono                                      _^c2HxzoGzuJM.opus   ss=0 to=207 t=0.967 c=r3 F=y cmp=parc v=4db
Furstenau-Op125_05-Etude_Bouquets-Dfmaj-Yoshizono                                     _^XLw90MhsApA.opus   ss=0 to=159.47 cmp=parc v=4db
Furstenau-Op125_06-Etude_Bouquets-Gmaj-Yoshizono                                      _^3AhDDz7XEz8.opus   ss=0 to=142.13 cmp=parc v=4db
Furstenau-Op125_07-Etude_Bouquets-Fmin-Yoshizono                                      _^Tb2w4RlAFgE.opus   ss=0 to=290.29 cmp=parc v=4db
Furstenau-Op125_08-Etude_Bouquets-Emaj-Yoshizono                                      _^WTnDvMcTka8.opus   ss=0 to=126.95 cmp=parc v=4db
Furstenau-Op125_09-Etude_Bouquets-Gmin-Yoshizono                                      _^KkZCi8tM4GU.opus   ss=0 to=149 t=1.193 c=r3 F=y cmp=parc v=4db
Furstenau-Op125_10-Etude_Bouquets-Bmaj-Yoshizono                                      _^cv5DI8zitU0.opus   ss=0 to=283 t=1.0379 c=r3 F=y cmp=parc v=4db
Furstenau-Op125_11-Etude_Bouquets-Fmaj-Yoshizono                                      _^Vrp83rKK4kw.opus   ss=0 to=159 t=0.967 c=r3 F=y cmp=parc v=4db
Furstenau-Op125_12-Etude_Bouquets-Cmin-Yoshizono                                      _^vsA_EJRqrCM.opus   ss=0 to=158.11 cmp=parc v=4db
Furstenau-Op125_13-Etude_Bouquets-Gmaj-Yoshizono                                      _^Te9jr3Si1_o.opus   ss=0 to=144.67 cmp=parc v=4db
Furstenau-Op125_14-Etude_Bouquets-Gfmaj-Yoshizono                                     _^V5UQKjegbDc.opus   ss=0 to=133.13 cmp=parc v=4db
Furstenau-Op125_15-Etude_Bouquets-Fsmaj-Yoshizono                                     _^aD-UoUhB3e8.opus   ss=0 to=214.83 cmp=parc v=4db
Furstenau-Op125_16-Etude_Bouquets-Fmin-Yoshizono                                      _^NGGXD4jFoJo.opus   ss=0 to=153 t=0.697 p=0.0207 c=r3 F=y cmp=parc v=4db
Furstenau-Op125_17-Etude_Bouquets-Gsmin-Yoshizono                                     _^YlkmHFsWE8A.opus   ss=0 to=183 t=0.774 p=0.016 c=r3 F=y cmp=parc v=4db
Furstenau-Op125_18-Etude_Bouquets-Dmin-Yoshizono                                      _^WeaJRMch-ps.opus   ss=0 to=116 t=1.0183 p=-0.0084 c=r3 F=y cmp=parc v=4db
Furstenau-Op125_19-Etude_Bouquets-Amaj-Yoshizono                                      _^ymsPRPiKKns.opus   ss=0 to=245 t=0.987 c=r3 F=y cmp=parc v=4db
Furstenau-Op125_20-Etude_Bouquets-Dfmaj-Yoshizono                                     _^ty6jkQplI6A.opus   ss=0 to=164.43 cmp=parc v=4db
Furstenau-Op125_21-Etude_Bouquets-Emaj-Yoshizono                                      _^ABVi03VuF0c.opus   ss=0 to=183.95 cmp=parc v=4db
