4-Non-Blondes_Whats-Up                                                                _^6NXnxTNIWkc.opus
B52s_Planet_Claire                                                                    _^eOjAzI5zALo.mp3 
B52s_Rock_Lobster_1980                                                                _^2VCCiY17hKw.mkv 
Beatles-A_Hard_Days_Night                                                             _^fG2evigIJIc.mkv 
Beatles-Across_The_Universe-Let_It_Be_Naked-2013                                      _^NLddD6Xf-8g.opus
Beatles-All_Together_Now_Remastered_2009                                              _^73lj5qJbrms.opus
Beatles-All_You_Need_Is_Love_Remastered_2009                                          _^_7xMfIp-irg.opus
Beatles-Blackbird_Rehearsal_Take                                                      _^Mo_DMGc2v5o.mkv 
Beatles-Deconstructing_Sgt_Pepper                                                     _^c-wXZ5-Yxuc.mkv 
Beatles-Dig_A_Pony-Let_It_Be_Naked-2013                                               _^v5X2CwCU0a0.m4a 
Beatles-Don_t_Let_Me_Down-Let_It_Be_Naked-2013                                        _^u2Hz7sRhFRo.m4a 
Beatles-Dont_Let_Me_Down                                                              _^NCtzkaL2t_Y.webm
Beatles-Eleanor_Rigby                                                                 _^HuS5NuXRb5Y.opus
Beatles-Free_As_A_Bird                                                                _^ODIvONHPqpk.opus
Beatles-Get_Back-Let_It_Be_Naked-2013                                                 _^6f2sZM8jat4.opus
Beatles-Get_Back_2009                                                                 _^mNcbF0n63fU.opus
Beatles-Here_comes_the_Sun                                                            _^U_O1QKQCsGs.opus
Beatles-I_Me_Mine-Let_It_Be_Naked-2013                                                _^rTEIgJsddyM.opus
Beatles-I_Want_To_Hold_Your_Hand_2009                                                 _^XT4pwRi2JmY.opus
Beatles-Kansas_City_Hey-Hey-Hey                                                       _^14ijT4RVERY.mkv 
Beatles-Let_It_Be-Let_It_Be_Naked-2013                                                _^lcA-qlMP11s.opus
Beatles-Love_Me_Do_2009                                                               _^0pGOFX1D_jg.m4a 
Beatles-Magical_Mystery_Tour                                                          _^l8WMGBuNaus.webm
Beatles-Michelle_2009                                                                 _^WoBLi5eE-wY.opus
Beatles-Rain                                                                          _^cK5G8fPmWeA.mkv 
Beatles-Sgt_Peppers_Lonely_Hearts_Club_Band_2009                                      _^VtXl8xAPAtA.webm
Beatles-Something                                                                     _^UelDrZ1aFeY.mkv 
Beatles-Strawberry_Fields_Forever_-_Restored_HD_Video                                 _^8UQK-UcRezE.webm
Beatles-While_My_Guitar_Gently_Weeps                                                  _^VJDJs9dumZI.webm
Beatles-While_My_Guitar_Gently_Weeps                                                  _^bI8P6ZSHSvE.webm
Beatles-Yellow_Submarine-2009                                                         _^ztHxu-13UqI.m4a 
Blondie-Rapture                                                                       _^pHCdS7O248g.opus
Boz_Scaggs-Loan_Me_A_Dime                                                             _^-RTh5t8yEqI.opus
Crosby_Stills_Nash-Just_A_Song_Before_I_Go                                            _^Xzdca-p8D-o.opus
Dexy_Midnight_Runners-Come_On_Eileen_1982                                             _^ASwge9wc-eI.opus
Eurythmics-Sweet_Dreams_Are_Made_Of_This                                              _^qeMFqkcPYcg.opus
Faces-Ooh_La_La_1973                                                                  _^1_xwnb3cymc.opus
Fanny-Aint_that_Peculiar_LIVE_1972-11-25                                              _^imZUqkPlUaQ.mp3 
Gabor_Szabo-Ferris_Wheel-Dreams-1968                                                  _^gr0XWmEbiMQ.opus
Gabor_Szabo-Galateas_Guitar-Dreams-1968                                               _^gr0XWmEbiMQ.opus
Gabor_Szabo-Half_the_Day_is_the_Night-Dreams-1968                                     _^gr0XWmEbiMQ.opus
Gary_Wright-DreamWeaver                                                               _^xZKuzwPOefs.opus
Gato_Barbieri-Europa                                                                  _^YfyCrpUOAJw.opus
Grateful_Dead-Box_of_Rain_2013                                                        _^nxjvo4BRf-Y.opus
Grateful_Dead-Skin_It_Back                                                            _^LarsNu_s2KU.opus
Heart-Barracuda-1977                                                                  _^PeMvMNpvB5M.opus
Hugh_Masekela-Grazing_In_The_Grass                                                    _^cDTYsgPwP1s.opus
Jaco_Pastorius-Dolphin_Dance                                                          _^KYrdHW38IqA.opus
James_Brown-I_Feel_Good                                                               _^U5TqIdff_DQ.m4a 
Jimi_Hendrix-Cafe_Au_Go_Go_68                                                         _^JDKj0aX9PRg.opus
Jimi_Hendrix-Hear_My_Train_Acoustic                                                   _^P701paKEMXs.m4a 
John_Lennon-Just_Like_Starting_Over                                                   _^rO6YCVkzysg.opus
Joni_Mitchell-Big_Yellow_Taxi                                                         _^NhxZ8ok3Z2o.opus
Kimi_no_Na_Wa_Your_Name-Paola_Hermosin                                                _^lUhsO_a7bK4.opus
Lanie_Gardner_Cover-Fleetwood_Mac-Dreams                                              _^V1LhC1zGouc.opus
Luciano_Pavarotti_James_Brown-Its_A_Mans_Mans_Mans_World                              _^GaB9F3R9cIY.m4a 
No_Doubt-Dont_Speak                                                                   _^TR3Vdo5etCQ.opus
Patricia_Kaas-And_Now_Ladies_and_Gentlemen                                            _^EoB84wfcs3A.opus
Patricia_Kaas-Avec_Le_Temps                                                           _^g1Lf0agzECw.opus
Patricia_Kaas-L_heure_du_jazz                                                         _^fBolNM34dCk.opus
Patricia_Kaas-Les_Moulins_De_Mon_Ceur_The_Windmills_of_Your_Mind                      _^gtRr4Gk166U.opus
Paul_McCartney-Let_Em_In                                                              _^re61B8sKQWk.opus
